url,weekid,week_position,song,performer,songid,instance,previous_week_position,peak_position,weeks_on_chart,year,month,day
http://www.billboard.com/charts/hot-100/1962-12-29,12/29/62,31,MONSTERS' HOLIDAY,"Bobby ""Boris"" Pickett And The Crypt-Kickers","Monsters' HolidayBobby ""Boris"" Pickett And The Crypt-Kickers",1,40,30,6,1962,12,29
http://www.billboard.com/charts/hot-100/1962-12-29,12/29/62,45,SANTA CLAUS IS WATCHING YOU,Ray Stevens,Santa Claus Is Watching YouRay Stevens,1,55,45,3,1962,12,29
http://www.billboard.com/charts/hot-100/1962-12-29,12/29/62,56,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,4,59,29,19,1962,12,29
http://www.billboard.com/charts/hot-100/1962-12-29,12/29/62,65,THE CHRISTMAS SONG (MERRY CHRISTMAS TO YOU),Nat King Cole,The Christmas Song (Merry Christmas To You)Nat King Cole,2,67,38,8,1962,12,29
http://www.billboard.com/charts/hot-100/1962-12-29,12/29/62,40,THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,The Chipmunk Song (Christmas Don't Be Late)David Seville And The Chipmunks,4,47,39,15,1962,12,29
http://www.billboard.com/charts/hot-100/1962-12-29,12/29/62,59,ROCKIN' AROUND THE CHRISTMAS TREE,Brenda Lee,Rockin' Around The Christmas TreeBrenda Lee,3,64,14,18,1962,12,29
http://www.billboard.com/charts/hot-100/1963-01-05,1/5/63,30,MONSTERS' HOLIDAY,"Bobby ""Boris"" Pickett And The Crypt-Kickers","Monsters' HolidayBobby ""Boris"" Pickett And The Crypt-Kickers",1,31,30,6,1963,1,5
http://www.billboard.com/charts/hot-100/1963-01-12,1/12/63,39,MONSTERS' HOLIDAY,"Bobby ""Boris"" Pickett And The Crypt-Kickers","Monsters' HolidayBobby ""Boris"" Pickett And The Crypt-Kickers",1,30,30,6,1963,1,12
http://www.billboard.com/charts/hot-100/1963-11-30,11/30/63,87,THE MARVELOUS TOY,The Chad Mitchell Trio,The Marvelous ToyThe Chad Mitchell Trio,1,NA,43,9,1963,11,30
http://www.billboard.com/charts/hot-100/1963-12-07,12/7/63,77,THE MARVELOUS TOY,The Chad Mitchell Trio,The Marvelous ToyThe Chad Mitchell Trio,1,87,43,9,1963,12,7
http://www.billboard.com/charts/hot-100/1963-12-14,12/14/63,60,PRETTY PAPER,Roy Orbison,Pretty PaperRoy Orbison,1,NA,15,7,1963,12,14
http://www.billboard.com/charts/hot-100/1963-12-14,12/14/63,73,THE MARVELOUS TOY,The Chad Mitchell Trio,The Marvelous ToyThe Chad Mitchell Trio,1,77,43,9,1963,12,14
http://www.billboard.com/charts/hot-100/1963-12-21,12/21/63,33,PRETTY PAPER,Roy Orbison,Pretty PaperRoy Orbison,1,60,15,7,1963,12,21
http://www.billboard.com/charts/hot-100/1963-12-21,12/21/63,65,THE MARVELOUS TOY,The Chad Mitchell Trio,The Marvelous ToyThe Chad Mitchell Trio,1,73,43,9,1963,12,21
http://www.billboard.com/charts/hot-100/1963-12-28,12/28/63,56,THE MARVELOUS TOY,The Chad Mitchell Trio,The Marvelous ToyThe Chad Mitchell Trio,1,65,43,9,1963,12,28
